Str,PlotID,Lng,Lat,KMSq,nCol,nNest,nAct
Co,cf.1g,-69.17457362222645,44.27828694391426,63.802966744913576,0,0,0
Co,cg.1g,-69.07413168430617,44.260450241660784,99.99999999998093,0,0,0
Co,ch.1g,-68.95357195912561,44.2353147262379,100.00000000001907,6,0,0
Co,ci.1g,-68.8331016516548,44.210071305926604,100.00000000005723,0,0,0
Co,cj.1g,-68.71272104920467,44.184720112508906,100.00000000001907,0,0,0
Co,ck.1g,-68.592430437507,44.15926127799563,99.99999999998093,2,72,60
Co,cl.1g,-68.47223010071289,44.13369493462254,100.00000000001907,0,0,0
Co,cm.1g,-68.35671375788328,44.112780192928405,88.00312494055461,0,0,0
Co,cn.1g,-68.26922193362267,44.12505512019862,4.543209803686858,0,0,0
ND,bz.1f,-71.03043611616567,44.785608251307266,0.37008279450047,0,0,0
ND,c0.1f,-70.97357971237156,44.73585435509252,86.64606097892714,0,0,0
ND,c1.1f,-70.86003732092156,44.71112282926233,99.99999999994277,0,0,0
ND,c2.1f,-70.73802694080462,44.68758686330478,99.99999999998093,0,0,0
ND,c3.1f,-70.61610179957476,44.6639409269326,100.00000000001907,0,0,0
ND,c4.1f,-70.4942622089004,44.640185148728776,99.99999999998093,0,0,0
ND,c5.1f,-70.37250847888768,44.61631965756723,99.9999999999466,2,30,10
ND,c6.1f,-70.25897007431946,44.59608490964642,84.80801312184859,0,0,0
SC,c6.1f,-70.2054771028886,44.57145599143668,15.191986878170491,0,0,0
SC,c7.1f,-70.12925983344763,44.5682600532969,99.99999999998474,0,0,0
SC,c8.1f,-70.00776553040247,44.54406619935365,99.99999999994277,2,0,0
SC,c9.1f,-69.88635831277907,44.519763150775425,99.99999999998093,0,0,0
SC,ca.1f,-69.76503848284119,44.49535103782875,100.00000000001907,0,0,0
SC,cb.1f,-69.64380634127838,44.47082999104638,99.99999999998093,2,24,22
SC,cc.1f,-69.52266218720413,44.44620014122287,99.99999999994277,2,0,0
SC,cd.1f,-69.40160631815391,44.4214616194105,99.99999999998093,2,0,0
SC,ce.1f,-69.28063903008369,44.39661455691539,100.00000000001907,0,0,0
SC,cf.1f,-69.17833609976059,44.378854935953385,66.13556284650946,0,0,0
Co,cf.1f,-69.12349499672524,44.35759879330649,33.864437153472664,0,0,0
Co,cg.1f,-69.03897137280015,44.346595336344194,99.9999999999466,0,0,0
Co,ch.1f,-68.9182715875869,44.321423442111374,99.99999999998093,0,0,0
Co,ci.1f,-68.7976615513509,44.29614353487386,100.00000000001907,0,0,0
Co,cj.1f,-68.67714155212744,44.27075574714413,99.99999999998093,0,0,0
Co,ck.1f,-68.55671187636354,44.24526021166386,99.99999999994277,0,0,0
Co,cl.1f,-68.4363728089165,44.21965706139937,99.99999999998093,0,0,0
Co,cm.1f,-68.31612463305285,44.19394642953797,100.00000000001907,0,0,0
Co,cn.1f,-68.22113706855397,44.18150146942136,48.72401314227271,0,0,0
ND,bz.1e,-71.02188357705464,44.847799723968215,21.440926494214295,0,0,0
ND,c0.1e,-70.94917309046606,44.82126927980749,100.00000000001907,0,0,0
ND,c1.1e,-70.82693221556403,44.79780870183203,99.99999999998093,0,0,0
ND,c2.1e,-70.70477658631208,44.774237905006025,100.00000000001907,0,0,0
ND,c3.1e,-70.58270651681165,44.75055701834637,100.0000000000534,0,0,0
ND,c4.1e,-70.46072231959508,44.726766171165494,100.00000000001907,0,0,0
ND,c5.1e,-70.3388243056233,44.702865493067534,99.99999999998093,0,0,0
