Year,FWSColonyID,Str,PlotID,Lng,Lat,nNest,nActive
2015,ME.0810,SC,c6.1r,-70.6843093192,43.5994200824,3,3
2015,ME.0811,SC,c5.1q,-70.781690137,43.6272211772,1,1
2015,ME.0812,SC,ch.1c,-68.7586877107,44.6065187486,0,0
2015,ME.0816,SC,cc.1h,-69.5876713885,44.2414374726,4,4
2015,ME.0817,SC,ch.18,-68.7086524363,44.9089479358,3,2
2015,ME.0819,SC,ch.17,-68.6213017514,45.0448985749,5,5
2015,ME.0820,SC,c7.1n,-70.3669688124,43.8352455167,5,5
2015,ME.0821,SC,cd.1b,-69.2582434282,44.763311152,2,2
2015,ME.0822,SC,cg.18,-68.8306026193,44.9249274538,2,2
2015,ME.0823,ND,ch.0q,-68.0528130178,46.5048764218,3,2
2015,ME.0825,SC,c9.1e,-69.8024430474,44.6170581078,22,22
2015,ME.0826,SC,c6.1r,-70.6582137963,43.5471787004,3,3
2015,ME.0827,SC,c6.1r,-70.6241066224,43.5356581951,3,3
2015,ME.0828,SC,c6.1r,-70.7107045482,43.5288670403,2,2
2015,ME.0829,SC,c5.1q,-70.7612576646,43.6740889197,20,20
2015,ME.0830,SC,c7.1n,-70.3641998184,43.8958871343,21,20
2015,ME.0832,ND,c9.17,-69.5839946767,45.1645533689,9,9
2015,ME.0833,Co,cl.1a,-68.3144641682,44.625873804,22,22
2015,ME.0834,Co,ck.1b,-68.3972661186,44.5422721718,1,1
2015,ME.0835,SC,cj.1a,-68.4573259691,44.6615659041,6,6
2015,ME.0836,ND,cn.19,-67.9594191398,44.6953027595,5,5
2015,ME.0840,ND,c6.1j,-70.404253315,44.2783361008,2,1
2015,ME.0843,ND,cm.17,-68.0146916964,44.833703959,3,2
2015,ME.0844,SC,cd.1e,-69.374969464,44.550014022,5,5
2015,ME.0845,ND,cj.0u,-67.94478993209849,46.064402632818755,2,0
2015,ME.0846,ND,c9.19,-69.63603314564779,44.983797495010975,2,0
2015,ME.0847,SC,c7.1l,-70.32836312119,44.014101971936604,1,0
2015,ME.0848,Co,ck.1c,-68.46586461166211,44.54272197210117,2,0
2015,ME.0849,SC,c6.1p,-70.60773044465333,43.721768517659044,16,2
2015,ME.0850,ND,cf.15,-68.86846530627909,45.234162384812635,2,0
2015,ME.0851,Co,co.1b,-67.88736686026823,44.50711902873598,7,7
2015,ME.0852,ND,c3.1k,-70.79781696180883,44.26090484854136,11,0
2015,ME.0854,ND,c9.15,-69.50722076843672,45.39292052285103,9,0
2023,ME.0004,Co,ca.1o,-70.05283470286128,43.71096757721828,6,2
2023,ME.0005,Co,ca.1n,-70.03157698873612,43.80598071206667,196,0
2023,ME.0007,Co,cf.1k,-69.40058661864441,43.91036194212267,126,0
2023,ME.0008,Co,ch.1j,-69.09553531213612,43.981353511932774,53,0
2023,ME.0013,Co,ck.1g,-68.60044287310862,44.176552052945645,0,0
2023,ME.0014,Co,cj.1h,-68.70789391274704,44.12531561824502,26,1
2023,ME.0016,Co,cl.1b,-68.2636641699461,44.5490210508563,1,1
2023,ME.0020,Co,cs.19,-67.37107504249946,44.59756466792343,50,0
