Obs_PK,PlotDetails_FK,WaypointID,NewColony?,WBC_ID,Strata,Time,CaptHist,FObsTot,FObsAct,RObsTot,RObsAct,Species,Habitat,Comments,Latitude,Longitude
361,215,,FALSE,805,SC,,,22,22,19,19,GBHE,Wetland,,,
362,217,,FALSE,788,ND,,,0,0,0,0,,Wetland,,,
363,218,,FALSE,721,ND,,,0,0,0,0,,Upland,,,
364,219,,FALSE,722,ND,,,0,0,0,0,,Upland,,,
365,221,,FALSE,899,Co,,,5,5,4,2,GBHE,Wetland,one nest on east side of peninsula agaist live trees.,,
366,222,,FALSE,749,Co,,,0,0,0,0,,Wetland,,,
367,225,,FALSE,739,Co,,,0,0,0,0,,Wetland,,,
368,225,,FALSE,792,SC,,,0,0,0,0,,Wetland,,,
369,228,,FALSE,131,ND,,,47,45,42,40,GBHE,Upland,only noticed 2 inactive,,
370,232,,FALSE,837,ND,,,0,0,0,0,,Upland,,,
371,230,,FALSE,860,ND,,,16,8,16,8,GBHE,Upland,,,
372,230,,FALSE,751,ND,,,1,0,1,0,,Upland,"One unknown nest in live pine, looked OSPR or BAEA, saw something white in it but not a bird or egg.",,
373,230,,FALSE,855,ND,,,0,0,0,0,,Upland,couldn't find,,
374,236,,FALSE,627,ND,,,0,0,0,0,,,unknown habitat of original colony,,
375,207,,FALSE,921,ND,,,1,1,1,1,OSPR,Wetland,new heron colony also hosting osprey nest,45.10579,-69.325137
376,187,,TRUE,919,,,x11,6,6,6,6,GBHE,Wetland,,44.988453,-68.620069
